movie_id,actor_id,character
"1","204","Levi Williamson-Williamson"
"1","933","Donald Bruen"
"1","341","Rex Senger"
"1","833","Alyssa Bins"
"1","42","Katie Champlin"
"1","256","Harold Braun IV"
"1","924","Annette Hermann"
"1","304","Jonathan Leuschke"
"1","312","Irvin Treutel"
"1","600","Lawrence Mertz"
"2","744","Earnest Larson"
"2","676","Mr. Clyde Kilback"
"2","304","Mr. Maurice Skiles"
"2","594","Lucas Gutkowski"
"2","946","Peter Leuschke"
"2","202","Kelley Heaney"
"2","658","Danielle Fadel"
"2","195","Shannon Brekke"
"2","394","Jennifer Mills"
"2","154","Jake Gutkowski"
"3","313","Bradford Denesik"
"3","529","Joseph Trantow-Powlowski"
"3","885","Vanessa Anderson"
"3","23","Dr. Anthony Terry DDS"
"3","456","Mitchell Keeling"
"3","349","Cesar Berge"
"3","269","Hattie Walsh"
"3","857","Mr. Jerry Monahan"
"3","403","Dr. Doyle Ward"
"3","223","Elizabeth Strosin"
"4","377","Alfred Rosenbaum II"
"4","612","Hazel Mayer"
"4","312","Robert Friesen"
"4","528","Joe Bahringer"
"4","545","Robyn Smitham"
"4","749","Alice Ratke IV"
"4","614","Jeannie Wilderman"
"4","918","Jackie Mraz"
"4","100","Gladys Thompson V"
"4","653","Doreen Muller"
"5","912","Cecil Thompson-Kunze"
"5","521","Irvin Rippin"
"5","335","Levi Willms"
"5","585","Sammy Hane"
"5","112","Cameron Pfeffer"
"5","908","Lloyd Jacobi"
"5","499","Sherri Zulauf"
"5","223","Shirley Willms"
"5","50","Carol Kuphal"
"5","390","Latoya Effertz II"
"6","583","Devin Bashirian"
"6","285","Miss Tammy Mayer"
"6","486","Yvette Toy"
"6","758","Cecil Heaney-Hagenes"
"6","983","Mrs. Tiffany Maggio"
"6","219","Jack Zboncak"
"6","105","Santos Shields"
"6","814","Ivan Beatty"
"6","101","Chelsea Zulauf IV"
"6","424","Kathryn Reichert"
"7","697","Samantha Kautzer"
"7","563","George Dickinson"
"7","8","Lamar Hayes"
"7","853","Miss Marian VonRueden"
"7","287","Reginald Casper"
"7","376","Terrence Mitchell"
"7","780","Mr. Leroy Schowalter"
"7","877","Byron Larson"
"7","510","Carrie Volkman"
"7","188","Jean Goyette"
"8","637","Ms. Patty Gulgowski MD"
"8","325","Marlon Tremblay"
"8","633","Ms. Maggie Gulgowski"
"8","962","Ms. Ann Mosciski-Ullrich"
"8","546","Mrs. Kate Blick-Rutherford"
"8","683","Sandra Miller"
"8","505","Rick Kohler"
"8","838","Sherry Hodkiewicz"
"8","810","Ian Kuphal II"
"8","277","Jenny Terry"
"9","510","Dwayne Osinski"
"9","293","Monique Zemlak"
"9","843","Marlon Boyer"
"9","69","Raul Gerlach II"
"9","178","Vernon Gottlieb"
"9","943","Gloria Zieme"
"9","89","Adrian Altenwerth"
"9","335","Antoinette Rowe"
"9","338","Lila Dietrich"
"9","353","David Rolfson-Keeling"
"10","140","Allen Abernathy"
"10","237","Wesley Marks"
"10","65","Wanda Hegmann"
"10","795","Herbert Schroeder"
"10","516","Mae Fadel"
"10","230","Florence Durgan"
"10","585","Faye Johns"
"10","560","Mr. Clark Kessler Sr."
"10","86","Hazel Brakus"
"10","328","Marilyn Kiehn"
"11","638","Brooke Champlin"
"11","327","Lillian Kuvalis"
"11","82","Felipe Schultz"
"11","173","Lula Tromp"
"11","497","Stacey Bernier"
"11","481","Jared Becker"
"11","80","Glenda Daniel"
"11","628","Eric Olson III"
"11","696","Christian Bashirian"
"11","572","Ms. Regina Aufderhar"
"12","5","Ricardo Boyle V"
"12","332","Lorenzo Stark"
"12","404","Johnathan Cassin"
"12","958","Marian Christiansen"
"12","856","Angelo Halvorson"
"12","575","Barry Bergstrom"
"12","676","Michelle McCullough"
"12","147","Elizabeth Labadie"
"12","954","Miss Betty Rogahn III"
"12","345","Lindsay Muller"
"13","249","Lucy Jakubowski"
"13","171","Monique Reilly"
"13","468","Ashley Nolan"
"13","102","Jesse Treutel"
"13","444","Rudy Kris"
"13","710","Geneva Padberg"
"13","922","Amanda Brekke"
"13","292","Sonia Lehner"
"13","379","Richard Bergnaum"
"13","332","Cary Lehner"
"14","333","Robert Gibson"
"14","326","Anthony Walter"
"14","889","Clay Jacobi"
"14","828","Lynn Franecki"
"14","500","Molly Pollich"
"14","664","Clarence O'Hara-Koss"
"14","974","Andy Spinka"
"14","896","Eileen Graham MD"
"14","775","Ivan Hoeger"
"14","361","Judy Boyer"
"15","958","Elisa Bogan V"
"15","212","Irene Wisozk"
"15","821","Javier Daniel"
"15","422","Belinda Dickens"
"15","141","Dr. Darrin Feest"
"15","767","Irma Schulist"
"15","406","Allison Conroy"
"15","434","David Feil"
"15","990","Sherri Huels"
"15","125","Patsy Hodkiewicz"
"16","365","Jacqueline Langworth IV"
"16","107","Claire Moen"
"16","739","Tyrone Deckow"
"16","91","Verna Heaney"
"16","760","Margarita Schuster"
"16","885","Maria Skiles"
"16","155","Rudy Tillman"
"16","410","Wade Lockman Sr."
"16","487","Elmer Gleichner"
"16","931","Jeannette Hackett"
"17","485","Bonnie Hoppe"
"17","601","Taylor Jacobson"
"17","947","Erik Cartwright DVM"
"17","796","Camille Labadie Sr."
"17","536","Dr. Roberto Powlowski"
"17","455","Antoinette Skiles"
"17","242","Mable Braun"
"17","993","Lyle Kuvalis"
"17","89","Erin O'Conner"
"17","403","Hannah Kunze"
"18","296","Rudolph Heller-Kuvalis"
"18","805","Clayton Morar"
"18","950","Joanne Purdy-Wehner"
"18","937","Loren Klocko"
"18","980","Phillip O'Kon"
"18","440","Rosie Jones"
"18","299","Connie Watsica"
"18","735","Mrs. Essie O'Hara III"
"18","982","Hope Howell"
"18","248","Marcos Block"
"19","849","Deborah Hackett"
"19","136","Larry Gibson"
"19","385","Jean Corwin"
"19","847","Paula Kling"
