id,title,rating
"1","Swanee","3.6"
"2","Shadow Dancing","3"
"3","Why Do Fools Fall in Love?","5"
"4","Livin' On a Prayer","6.5"
"5","Wild Wild West","2.5"
"6","Come On-a My House","2.9"
"7","Monday Monday","1.3"
"8","Burn","8.4"
"9","Travellin' Man","7.4"
"10","Three Times a Lady","2.2"
"11","Wichita Lineman","9.1"
"12","What's Going On?","3.5"
"13","Nothing Compares 2 U","5.3"
"14","You Make Me Feel Brand New","6"
"15","(I Can't Get No) Satisfaction","6.1"
"16","Georgy Girl","5.1"
"17","Fire & Rain","1.6"
"18","I'm Looking Over a Four Leaf Clover","10"
"19","Kiss Me","7.7"
"20","Down","1.9"
"21","Stand By Me","9.3"
"22","Dardanella","3.9"
"23","If I Didn't Care","9.6"
"24","Green River","9.4"
"25","9 to 5","1.1"
"26","Hello","3.1"
"27","Knock On Wood","8.5"
"28","You've Lost That Lovin' Feelin'","8.1"
"29","Moonlight Cocktail","0.3"
"30","Pop Muzik","6.5"
"31","Sunday","9.6"
"32","Georgy Girl","5.7"
"33","Hang On Sloopy","2.8"
"34","Kiss You All Over","8.1"
"35","I'll Be Missing You","9.2"
"36","Kiss","0.6"
"37","You're Still the One","0.9"
"38","Do Wah Diddy Diddy","2.7"
"39","Bye","6.1"
"40","Get Back","2.3"
"41","Look Away","6"
"42","Party Rock Anthem","5.6"
"43","Spill the Wine","5.8"
"44","My Blue Heaven","5.1"
"45","Tighten Up","1.4"
"46","Tears of a Clown","1.1"
"47","Wabash Cannonball","3.4"
"48","These Boots Are Made For Walking","8.1"
"49","You Are the Sunshine of My Life","3.6"
"50","Spill the Wine","5.8"
"51","I Believe I Can Fly","7.8"
"52","The Reason","7"
"53","What a Fool Believes","8"
"54","Goodnight","5.9"
"55","West End Girls","9.4"
"56","Good Lovin'","6.7"
"57","Judy in Disguise (With Glasses)","6"
"58","Private Eyes","9.9"
"59","12th Street Rag","6.7"
"60","Say Say Say","4.1"
"61","People","9.3"
"62","Born to Be Wild","8.1"
"63","Ray of Light","2.6"
"64","Wipe Out","1.4"
"65","Make Love to Me","0.2"
"66","I Get Around","6.5"
"67","Ray of Light","0.9"
"68","Little Things Mean a Lot","9"
"69","I Feel Fine","1.1"
"70","Fallin'","9.3"
"71","Be My Love","5.1"
"72","The Long & Winding Road","4"
"73","Eye of the Tiger","3.9"
"74","Brown Sugar","9"
"75","Macarena","6.5"
"76","I Don't Want to Miss a Thing","5.4"
"77","My Eyes Adored You","1.2"
"78","I Swear","3.1"
"79","Kiss","4.4"
"80","Living For the City","1.5"
"81","Hero","3.2"
"82","The Loco-Motion","0.4"
"83","Under the Bridge","8.2"
"84","Running Scared","2.1"
"85","Tennessee Waltz","8.1"
"86","I'm So Lonesome I Could Cry","2.2"
"87","On Bended Knee","0.5"
"88","Check On It","1"
"89","ABC","4.4"
"90","Night & Day","0.9"
"91","Beauty & the Beast","7.2"
"92","Incense & Peppermints","1.2"
"93","Like a Rolling Stone","1.6"
"94","Every Breath You Take","3.2"
"95","West End Blues","9.6"
"96","Spirit in the Sky","2.1"
"97","Music","4"
"98","What a Fool Believes","1.7"
"99","Up Around the Bend","9.1"
"100","Always On My Mind","6.1"
"101","Papa Was a Rolling Stone","2.5"
"102","Stars & Stripes Forever","7.2"
"103","Unbelievable","0.3"
"104","Don't Worry Be Happy","6.3"
"105","The Girl From Ipanema","3.8"
"106","Stand By Me","7.5"
"107","Car Wash","2.2"
"108","Travellin' Band","3.9"
"109","Help Me","3.5"
"110","Stop! in the Name of Love","5.6"
"111","Magic","1.9"
"112","Everybody Loves Somebody","0.5"
"113","Hanging by a Moment","0.4"
"114","Open Arms","2.1"
"115","Something","3.9"
"116","Strange Fruit","1.8"
"117","Take Me Home","4.3"
"118","Hotel California","8.6"
"119","Hurt So Good","4.2"
"120","Body & Soul","4.1"
"121","Honky Tonk Woman","2.5"
"122","Will You Love Me Tomorrow","1.8"
"123","Strange Fruit","2.2"
"124","Hard to Say I'm Sorry","9.5"
"125","Bye Bye Love","7.6"
"126","Tik-Toc","6.2"
"127","How Deep is Your Love?","9"
"128","People Got to Be Free","8"
"129","Theme From 'Greatest American Hero' (Believe It Or Not)","7.1"
"130","Glamorous","5.5"
"131","Do That to Me One More Time","9.5"
"132","Walk This Way","1.1"
"133","I Only Have Eyes For You","2.2"
"134","Pony Time","7.8"
"135","A Hard Day's Night","8.7"
"136","The Last Dance","7.2"
"137","Hey There Delilah","4.9"
"138","The End of the World","1"
"139","St George & the Dragonette","9.8"
"140","Yakety Yak","9"
"141","Frankenstein","6.2"
"142","I Swear","8.8"
"143","Total Eclipse of the Heart","0.2"
"144","Let Me Call You Sweetheart","7.4"
"145","A Whole New World (Aladdin's Theme)","2.6"
"146","Give Me Everything","1"
"147","Ole Buttermilk Sky","0.5"
"148","Eve of Destruction","9.1"
"149","What's Going On?","7.4"
"150","Hair","2.8"
"151","Some Enchanted Evening","7"
"152","Band of Gold","5.3"
"153","Beat It","0.9"
"154","Return to Sender","3.7"
"155","Ring My Bell","6.3"
"156","Till I Waltz Again With You","8.7"
"157","Down Hearted Blues","4.6"
"158","Take The 'A' Train","7.6"
"159","I Only Have Eyes For You","3"
"160","Me & Mrs Jones","4.7"
"161","Rehab","5.8"
"162","Three Times a Lady","2.1"
"163","The Letter","0.4"
"164","Come On Eileen","5.7"
"165","The Tide is High","3.4"
