id,author_id,year
"1","441","1998"
"2","3444","2007"
"3","2691","2002"
"4","3731","1975"
"5","1525","2002"
"6","851","2019"
"7","624","1986"
"8","476","1987"
"9","1367","1977"
"10","1148","2018"
"11","261","1992"
"12","525","1998"
"13","1936","2020"
"14","4931","2014"
"15","66","2023"
"16","4058","1981"
"17","3821","2018"
"18","4091","2016"
"19","1240","2003"
"20","712","2016"
"21","3291","2020"
"22","1276","2012"
"23","3872","2000"
"24","2192","2008"
"25","688","2002"
"26","1581","1977"
"27","4397","2005"
"28","1291","1999"
"29","4041","2014"
"30","3247","2012"
"31","70","1984"
"32","2571","2001"
"33","1982","2002"
"34","60","2002"
"35","2616","1987"
"36","1492","2019"
"37","2136","2018"
"38","724","1997"
"39","4524","2006"
"40","3524","2020"
"41","1211","2022"
"42","1837","2023"
"43","760","2005"
"44","730","2015"
"45","1278","1989"
"46","2221","2021"
"47","1419","1999"
"48","4785","2004"
"49","2429","1987"
"50","3048","1977"
"51","2238","2019"
"52","2781","1978"
"53","1277","1980"
"54","20","1987"
"55","4021","1989"
"56","4086","1985"
"57","4538","1994"
"58","3663","2005"
"59","3371","1981"
"60","1015","1981"
"61","2025","2007"
"62","3378","1985"
"63","2075","2004"
"64","1517","1983"
"65","3933","2004"
"66","1944","1997"
"67","2452","1980"
"68","4707","2006"
"69","3629","2005"
"70","849","1987"
"71","1631","1985"
"72","584","1980"
"73","3752","1986"
"74","4779","2009"
"75","4367","1987"
"76","1301","2005"
"77","794","1998"
"78","122","1975"
"79","3477","2014"
"80","2508","2004"
"81","2327","2022"
"82","1090","1989"
"83","916","2006"
"84","3124","2012"
"85","536","1981"
"86","3656","1981"
"87","4816","2015"
"88","977","1989"
"89","3294","1975"
"90","1042","1990"
"91","2556","1989"
"92","2101","2014"
"93","2038","1981"
"94","387","1988"
"95","3743","1980"
"96","811","1996"
"97","1750","1989"
"98","3080","2023"
"99","856","1986"
"100","4238","1980"
"101","1060","2007"
"102","4630","2002"
"103","4525","2011"
"104","140","2005"
"105","2587","1983"
"106","320","1976"
"107","880","2004"
