movie_id,actor_id,character
"1","533","Simon Kuphal"
"1","834","Jerald Adams"
"1","551","Donnie Barrows"
"1","95","Ismael Olson"
"1","719","Faye Howell"
"1","599","Tyrone Altenwerth"
"1","174","Austin Prohaska Sr."
"1","153","Jenna Witting"
"1","439","Clifton Fisher"
"1","990","Ms. Olive Friesen"
"2","129","Juanita Abernathy"
"2","664","Lorene Witting DVM"
"2","273","Julian Olson-Koss"
"2","248","Doug Erdman"
"2","468","Rachel Altenwerth"
"2","785","Grace Feest"
"2","845","Meredith Gleichner"
"2","619","Alejandro Bogisich"
"2","630","Mrs. Myrtle Mohr"
"2","568","Chester Hauck"
"3","26","Alexis Reichel"
"3","351","Cory Leuschke"
"3","388","Shannon Skiles"
"3","36","Omar Herman"
"3","242","Mrs. Sylvia Sauer IV"
"3","878","Lana Robel"
"3","867","Clayton Wintheiser IV"
"3","228","Christy Herzog"
"3","952","Miss Mabel Mosciski"
"3","499","Kristen Wolf"
"4","782","Erma Stehr"
"4","969","Dr. Herman Sipes"
"4","500","Janice Bradtke"
"4","756","Dr. Kerry Dietrich"
"4","213","Gwendolyn Wyman"
"4","855","Kelvin Ankunding-Abshire"
"4","820","Zachary Murray"
"4","278","Forrest Mante"
"4","338","Gayle Rutherford"
"4","653","Tammy Schimmel-Stracke"
"5","916","Rolando Mohr"
"5","604","Jo Hackett"
"5","173","Mrs. Verna Lowe III"
"5","826","Carroll Johns"
"5","155","Jessica Bins"
"5","295","Sabrina Metz"
"5","4","Abraham Hills"
"5","599","Sara Stark"
"5","657","Sam Hickle V"
"5","153","Mrs. Donna Berge"
"6","584","Salvatore Abshire"
"6","490","Mr. Clifford Wuckert"
"6","94","Freda Haley"
"6","448","Angelica Greenfelder"
"6","479","Vera Morissette"
"6","405","Bennie Mitchell"
"6","341","Isaac McKenzie"
"6","398","Troy Hickle Sr."
"6","150","Ms. Jody Schinner"
"6","699","Wilfred VonRueden Sr."
"7","548","Olive Schmitt"
"7","900","Sally Lubowitz Jr."
"7","932","Dr. Matthew Schneider"
"7","38","Bernice Hettinger"
"7","949","Mrs. Mabel Kling"
"7","867","Lillie Schaden"
"7","635","Yolanda Jerde"
"7","762","Jill Langworth"
"7","180","Sherri Dooley"
"7","790","Sue Reinger"
"8","929","Matt Pagac"
"8","659","Alfredo Mills"
"8","608","Kay Leuschke"
"8","544","Nora Quigley"
"8","533","Deborah Reynolds"
"8","47","Dr. Rick Harris"
"8","852","Traci Bednar"
"8","81","Holly Padberg"
"8","135","Penny Lemke"
"8","890","Roberta Hayes"
"9","123","Carlton Douglas"
"9","453","Dr. Wayne Gorczany-Ernser"
"9","467","Rosalie Lebsack"
"9","644","Dr. Geoffrey Williamson DDS"
"9","465","Mrs. Bethany Miller"
"9","79","Alfred Cassin"
"9","426","Dr. Terrell Gleason"
"9","960","Rachael Kiehn"
"9","5","Janice Fahey"
"9","55","Jeremiah Keeling"
"10","879","Traci Bogan"
"10","171","Dr. Terrell Fisher"
"10","315","Gladys Rogahn"
"10","223","Stephanie Stehr"
"10","117","Ray Johns"
"10","148","Fannie Adams"
"10","936","Todd Bartoletti"
"10","195","Arthur Wolf"
"10","238","Traci Reinger DVM"
"10","996","Todd Cartwright"
"11","177","Maggie Prohaska"
"11","111","Raquel Schaefer"
"11","162","Carol Kris"
"11","985","Steve Boyle"
"11","895","Raymond Glover"
"11","765","Andrea Witting"
"11","489","Philip Bins"
"11","530","Lela Lowe-Braun"
"11","343","Rick Johns"
"11","491","Guillermo Keebler"
"12","37","Jeff Kulas"
"12","343","Ben Franey"
"12","596","Mrs. Emily Dickinson"
"12","968","Dr. Elmer Maggio"
"12","639","Traci Jacobi Sr."
"12","836","Cameron Nicolas"
"12","809","Clinton Hamill"
"12","128","Mr. Casey Bailey"
"12","70","Janet O'Conner"
"12","507","Ms. Kelli Schinner"
"13","310","Josefina Hauck"
"13","893","Dr. Jaime Heidenreich"
"13","306","Lorene Schoen"
"13","222","Gustavo Botsford"
"13","87","Violet Swift"
"13","114","Terrell Champlin"
"13","572","Tanya Lakin"
"13","145","Deborah Hagenes-Crooks"
"13","684","Blanche Leuschke"
