id,title,rating
"1","I Got You Babe","7.7"
"2","Sunshine Superman","2.1"
"3","Be My Baby","5.4"
"4","The Way You Move","5.6"
"5","Boom Boom Pow","1.4"
"6","Me & Bobby McGee","3.4"
"7","Love Train","5.3"
"8","Cherish","2.2"
"9","Na Na Hey Hey (Kiss Him Goodbye)","2.7"
"10","West End Blues","1.5"
"11","One of Us","5.5"
"12","Empire State Of Mind","9.6"
"13","Make Love to Me","4.9"
"14","No Scrubs","1.6"
"15","Magic Carpet Ride","2.1"
"16","The Prisoner's Song","4.2"
"17","Jack & Diane","5.6"
"18","ABC","3.4"
"19","Eve of Destruction","4.5"
"20","He'll Have to Go","2.7"
"21","Fortunate Son","1.3"
"22","I'll Take You There","3.9"
"23","Say You","6.7"
"24","Ebony & Ivory","3.7"
"25","Keep On Loving You","7.9"
"26","Mickey","5"
"27","Cracklin' Rosie","5.9"
"28","U Got it Bad","0.5"
"29","Walk Like a Man","4.6"
"30","Papa Don't Preach","8.6"
"31","I'm Sorry","2.3"
"32","Winchester Cathedral","2.7"
"33","The Sign","7.1"
"34","Bye Bye","4.6"
"35","Come On Eileen","0.7"
"36","Call Me","8.7"
"37","Time of the Season","4.8"
"38","Dizzy","7.1"
"39","Waterfalls","6.9"
"40","E.T.","9.4"
"41","Thank You (Falettinme be Mice Elf Again)","3.9"
"42","The Sign","8.2"
"43","Travellin' Man","7.6"
"44","(Put Another Nickel In) Music! Music! Music!","4.2"
"45","The Wanderer","1.6"
"46","As Time Goes By","7"
"47","U Got it Bad","9.9"
"48","Sweet Soul Music","2.4"
"49","Since U Been Gone","6.5"
"50","Tennessee Waltz","4.6"
"51","Feel Good Inc","5.8"
"52","Morning Train (Nine to Five)","1.5"
"53","I Wanna Dance With Somebody (Who Loves Me)","8.9"
"54","Pon De Replay","2.3"
"55","Wedding Bell Blues","0.1"
"56","Lola","9.3"
"57","Another Night","1.6"
"58","Feel Good Inc","5.2"
"59","You'll Never Know","4.5"
"60","Sentimental Journey","4.3"
"61","Bohemian Rhapsody","7.6"
"62","Have You Ever Really Loved a Woman?","8.4"
"63","Hound Dog","9.1"
"64","Billie Jean","0.5"
"65","I Write the Songs","7.3"
"66","Dilemma","6.7"
"67","Bad Girls","1.3"
"68","Vaya Con Dios (may God Be With You)","9.4"
"69","Family Affair","6.1"
"70","We Are Family","5.9"
"71","You're the One That I Want","6.3"
"72","Ole Buttermilk Sky","4.8"
"73","You Light Up My Life","8.4"
"74","Grease","0.1"
"75","Ole Buttermilk Sky","2"
"76","Beauty & the Beast","5.6"
"77","Sh-Boom (Life Could Be a Dream)","8.5"
"78","Come On Eileen","9.1"
"79","(You Keep Me) Hangin' On","2"
"80","Mmmbop","6.6"
"81","Here in My Heart","9.2"
"82","Some Enchanted Evening","1.4"
"83","Candy Man","4"
