:END_ID(Movie),:START_ID(Actor),character,:TYPE
"1","533","Simon Kuphal","ACTED_IN"
"1","834","Jerald Adams","ACTED_IN"
"1","551","Donnie Barrows","ACTED_IN"
"1","95","Ismael Olson","ACTED_IN"
"1","719","Faye Howell","ACTED_IN"
"1","599","Tyrone Altenwerth","ACTED_IN"
"1","174","Austin Prohaska Sr.","ACTED_IN"
"1","153","Jenna Witting","ACTED_IN"
"1","439","Clifton Fisher","ACTED_IN"
"1","990","Ms. Olive Friesen","ACTED_IN"
"2","129","Juanita Abernathy","ACTED_IN"
"2","664","Lorene Witting DVM","ACTED_IN"
"2","273","Julian Olson-Koss","ACTED_IN"
"2","248","Doug Erdman","ACTED_IN"
"2","468","Rachel Altenwerth","ACTED_IN"
"2","785","Grace Feest","ACTED_IN"
"2","845","Meredith Gleichner","ACTED_IN"
"2","619","Alejandro Bogisich","ACTED_IN"
"2","630","Mrs. Myrtle Mohr","ACTED_IN"
"2","568","Chester Hauck","ACTED_IN"
"3","26","Alexis Reichel","ACTED_IN"
"3","351","Cory Leuschke","ACTED_IN"
"3","388","Shannon Skiles","ACTED_IN"
"3","36","Omar Herman","ACTED_IN"
"3","242","Mrs. Sylvia Sauer IV","ACTED_IN"
"3","878","Lana Robel","ACTED_IN"
"3","867","Clayton Wintheiser IV","ACTED_IN"
"3","228","Christy Herzog","ACTED_IN"
"3","952","Miss Mabel Mosciski","ACTED_IN"
"3","499","Kristen Wolf","ACTED_IN"
"4","782","Erma Stehr","ACTED_IN"
"4","969","Dr. Herman Sipes","ACTED_IN"
"4","500","Janice Bradtke","ACTED_IN"
"4","756","Dr. Kerry Dietrich","ACTED_IN"
"4","213","Gwendolyn Wyman","ACTED_IN"
"4","855","Kelvin Ankunding-Abshire","ACTED_IN"
"4","820","Zachary Murray","ACTED_IN"
"4","278","Forrest Mante","ACTED_IN"
"4","338","Gayle Rutherford","ACTED_IN"
"4","653","Tammy Schimmel-Stracke","ACTED_IN"
"5","916","Rolando Mohr","ACTED_IN"
"5","604","Jo Hackett","ACTED_IN"
"5","173","Mrs. Verna Lowe III","ACTED_IN"
"5","826","Carroll Johns","ACTED_IN"
"5","155","Jessica Bins","ACTED_IN"
"5","295","Sabrina Metz","ACTED_IN"
"5","4","Abraham Hills","ACTED_IN"
"5","599","Sara Stark","ACTED_IN"
"5","657","Sam Hickle V","ACTED_IN"
"5","153","Mrs. Donna Berge","ACTED_IN"
"6","584","Salvatore Abshire","ACTED_IN"
"6","490","Mr. Clifford Wuckert","ACTED_IN"
"6","94","Freda Haley","ACTED_IN"
"6","448","Angelica Greenfelder","ACTED_IN"
"6","479","Vera Morissette","ACTED_IN"
"6","405","Bennie Mitchell","ACTED_IN"
"6","341","Isaac McKenzie","ACTED_IN"
"6","398","Troy Hickle Sr.","ACTED_IN"
"6","150","Ms. Jody Schinner","ACTED_IN"
"6","699","Wilfred VonRueden Sr.","ACTED_IN"
"7","548","Olive Schmitt","ACTED_IN"
"7","900","Sally Lubowitz Jr.","ACTED_IN"
"7","932","Dr. Matthew Schneider","ACTED_IN"
"7","38","Bernice Hettinger","ACTED_IN"
"7","949","Mrs. Mabel Kling","ACTED_IN"
"7","867","Lillie Schaden","ACTED_IN"
"7","635","Yolanda Jerde","ACTED_IN"
"7","762","Jill Langworth","ACTED_IN"
"7","180","Sherri Dooley","ACTED_IN"
"7","790","Sue Reinger","ACTED_IN"
"8","929","Matt Pagac","ACTED_IN"
"8","659","Alfredo Mills","ACTED_IN"
"8","608","Kay Leuschke","ACTED_IN"
"8","544","Nora Quigley","ACTED_IN"
"8","533","Deborah Reynolds","ACTED_IN"
"8","47","Dr. Rick Harris","ACTED_IN"
"8","852","Traci Bednar","ACTED_IN"
"8","81","Holly Padberg","ACTED_IN"
"8","135","Penny Lemke","ACTED_IN"
"8","890","Roberta Hayes","ACTED_IN"
"9","123","Carlton Douglas","ACTED_IN"
"9","453","Dr. Wayne Gorczany-Ernser","ACTED_IN"
"9","467","Rosalie Lebsack","ACTED_IN"
"9","644","Dr. Geoffrey Williamson DDS","ACTED_IN"
"9","465","Mrs. Bethany Miller","ACTED_IN"
"9","79","Alfred Cassin","ACTED_IN"
"9","426","Dr. Terrell Gleason","ACTED_IN"
"9","960","Rachael Kiehn","ACTED_IN"
"9","5","Janice Fahey","ACTED_IN"
"9","55","Jeremiah Keeling","ACTED_IN"
"10","879","Traci Bogan","ACTED_IN"
"10","171","Dr. Terrell Fisher","ACTED_IN"
"10","315","Gladys Rogahn","ACTED_IN"
"10","223","Stephanie Stehr","ACTED_IN"
"10","117","Ray Johns","ACTED_IN"
"10","148","Fannie Adams","ACTED_IN"
"10","936","Todd Bartoletti","ACTED_IN"
"10","195","Arthur Wolf","ACTED_IN"
"10","238","Traci Reinger DVM","ACTED_IN"
"10","996","Todd Cartwright","ACTED_IN"
"11","177","Maggie Prohaska","ACTED_IN"
"11","111","Raquel Schaefer","ACTED_IN"
"11","162","Carol Kris","ACTED_IN"
"11","985","Steve Boyle","ACTED_IN"
"11","895","Raymond Glover","ACTED_IN"
"11","765","Andrea Witting","ACTED_IN"
"11","489","Philip Bins","ACTED_IN"
"11","530","Lela Lowe-Braun","ACTED_IN"
"11","343","Rick Johns","ACTED_IN"
"11","491","Guillermo Keebler","ACTED_IN"
"12","37","Jeff Kulas","ACTED_IN"
"12","343","Ben Franey","ACTED_IN"
"12","596","Mrs. Emily Dickinson","ACTED_IN"
"12","968","Dr. Elmer Maggio","ACTED_IN"
"12","639","Traci Jacobi Sr.","ACTED_IN"
"12","836","Cameron Nicolas","ACTED_IN"
"12","809","Clinton Hamill","ACTED_IN"
"12","128","Mr. Casey Bailey","ACTED_IN"
"12","70","Janet O'Conner","ACTED_IN"
"12","507","Ms. Kelli Schinner","ACTED_IN"
"13","310","Josefina Hauck","ACTED_IN"
"13","893","Dr. Jaime Heidenreich","ACTED_IN"
"13","306","Lorene Schoen","ACTED_IN"
"13","222","Gustavo Botsford","ACTED_IN"
"13","87","Violet Swift","ACTED_IN"
"13","114","Terrell Champlin","ACTED_IN"
"13","572","Tanya Lakin","ACTED_IN"
"13","145","Deborah Hagenes-Crooks","ACTED_IN"
"13","684","Blanche Leuschke","ACTED_IN"
"13","515","Guadalupe Lueilwitz","ACTED_IN"
"14","896","Kyle Hilpert","ACTED_IN"
"14","811","Marty Goldner","ACTED_IN"
"14","28","Ashley Rutherford","ACTED_IN"
"14","898","Doreen Howell","ACTED_IN"
"14","371","Francisco Frami","ACTED_IN"
"14","770","Felix Tremblay","ACTED_IN"
"14","336","Connie West","ACTED_IN"
"14","651","Faith Zulauf","ACTED_IN"
"14","85","Arnold Bayer","ACTED_IN"
"14","304","Lee Harvey","ACTED_IN"
"15","900","Abel Dicki","ACTED_IN"
"15","282","Lynette Ritchie","ACTED_IN"
"15","329","Doris Huels","ACTED_IN"
"15","288","Lynn O'Connell","ACTED_IN"
"15","300","Matt Satterfield","ACTED_IN"
"15","145","Mr. Josh O'Reilly Jr.","ACTED_IN"
"15","301","Alma Christiansen","ACTED_IN"
"15","551","Lola Ebert","ACTED_IN"
"15","978","Lyle Windler","ACTED_IN"
"15","595","Lindsey Dach","ACTED_IN"
"16","342","Yolanda Kuvalis","ACTED_IN"
"16","40","Dr. Edmund Welch","ACTED_IN"
"16","449","Essie Rohan","ACTED_IN"
"16","945","Al Tremblay","ACTED_IN"
"16","416","Jesse Crona DDS","ACTED_IN"
"16","145","Cameron Conroy","ACTED_IN"
"16","735","Ricky Heller","ACTED_IN"
"16","393","Donnie Hirthe","ACTED_IN"
"16","368","Lillie Grady","ACTED_IN"
"16","521","Kristie Heathcote","ACTED_IN"
"17","602","Rickey Altenwerth","ACTED_IN"
"17","561","Alvin Goodwin","ACTED_IN"
"17","891","Iris Stehr","ACTED_IN"
"17","882","Cecelia Considine","ACTED_IN"
"17","872","Lynette Hickle PhD","ACTED_IN"
"17","920","Janice Kuhlman","ACTED_IN"
"17","770","Ross Conn Jr.","ACTED_IN"
"17","91","Peggy Parisian","ACTED_IN"
"17","141","Micheal Jones","ACTED_IN"
"17","813","Spencer Toy","ACTED_IN"
"18","298","Blake Weissnat","ACTED_IN"
"18","197","Orlando Jast","ACTED_IN"
